1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-91.66 -53.58 -13.39 62.73 0 1.2)_mu=0_UNSTABLE(seg=0.00).png,-138.123085,-99.828666,-22.851797,-22.550681,69.028149,23.331042
0,-91.6622568334249,-53.575284889718,-13.3938212224602,62.730740799401,8.73189623940528e-06,1.20258501724548,1
0.01,-92.4393841802016,-54.0968492870507,-13.4427391720382,62.2322828404853,3.88232106485692,2.28659294736703,1
0.02,-93.0867022558012,-54.6171937229668,-13.512216851971,60.9975647569797,6.33685397145149,3.0545036867005,1
0.03,-93.6961342697285,-55.1470889148342,-13.5967050035068,59.7473886206279,8.11436157660096,3.63223440224391,1
0.04,-94.2890082983448,-55.6853165958689,-13.6907450308936,58.5476855018856,9.56166848404628,4.10948468556157,1
0.05,-94.8726397547541,-56.2300568961689,-13.7913109183797,57.3948497277118,10.8190446035985,4.52649221870281,1
0.06,-95.4503465429094,-56.7798899721623,-13.8965932577582,56.2790826067227,11.9546446203347,4.90384602710557,1
0.07,-96.0239003599457,-57.3337630626369,-14.005422495861,55.191920897956,13.00630780832,5.25335063739375,1
0.08,-96.5943540281423,-57.8908882868233,-14.1169968408628,54.1268491979497,13.9970816917346,5.58235848259178,1
0.09,-97.1623830561066,-58.4506642747479,-14.2307415239105,53.078937965579,14.9419785705168,5.89573873084819,1
0.1,-97.7284470293622,-59.012622580982,-14.3462299081284,52.0444369679704,15.8512845645853,6.19687091007853,1
0.11,-98.2928736449601,-59.5763913847995,-14.4631363251699,51.0204599394446,16.7323312709241,6.48818895059783,1
0.12,-98.8559058026183,-60.1416705446661,-14.581206387333,50.0047572423816,17.5905122923293,6.77149885845011,1
0.13,-99.4177319689077,-60.7082147640822,-14.7002365695103,48.9954787783219,18.4299212885862,7.04817746178829,1
0.14,-99.9784915310755,-61.2758178516648,-14.8200655717481,47.9914288636639,19.2536352694332,7.31928116317489,1
0.15,-100.538310125382,-61.8443098762565,-14.9405559511514,46.9912566840728,20.064185389132,7.58566170599936,1
0.16,-101.097283045769,-62.4135443172026,-15.061596431967,45.9940986162605,20.8635209303944,7.84799205012871,1
0.17,-101.655492425024,-62.9833957755193,-15.1830926813525,44.9991990837823,21.6532347414268,8.10682119091561,1
0.18,-102.213008549798,-63.5537555930712,-15.3049644757604,44.0059331444853,22.4346311968655,8.36260061009978,1
0.19,-102.769892400763,-64.124528773225,-15.4271429701169,43.0137829083999,23.2087891933763,8.61570532517291,1
0.2,-103.326197568713,-64.6956315851324,-15.5495685725271,42.0223172372265,23.9766094317757,8.86644969294082,1
0.21,-103.881971735699,-65.2669896769653,-15.6721892845292,41.0311755658715,24.7388502704859,9.11509940100487,1
0.22,-104.437257728589,-65.8385365451224,-15.7949593956838,40.0400554925866,25.4961548929548,9.36188066818863,1
0.23,-104.992094335364,-66.4102122962147,-15.9178384414964,39.0487028324837,26.249072403867,9.60698740350202,1
0.24,-105.546516964607,-66.9819626425363,-16.0407903628293,38.0569035194647,26.9980744630894,9.85058684356945,1
0.25,-106.100558158235,-67.5537380738554,-16.1637828234635,37.0644770850064,27.7435684396072,10.0928240326409,1
0.26,-106.654248000192,-68.1254931709671,-16.286786651132,36.0712713449064,28.4859079366308,10.3338254171533,1
0.27,-107.207614445308,-68.6971860327272,-16.4097753762377,35.0771580434258,29.2254012869071,10.5737017545928,1
0.28,-107.76068358637,-69.2687777946673,-16.532724848513,34.0820292608736,29.9623184652679,10.8125504860964,1
0.29,-108.313479872971,-69.8402322220838,-16.6556129163634,33.0857944338445,30.6968967556494,11.0504576858229,1
0.3,-108.866026292411,-70.4115153641015,-16.7784191570013,32.088377870343,31.4293454295116,11.2874996734691,1
0.31,-109.418344520482,-70.9825952579839,-16.9011246480191,31.0897166673411,32.1598496332064,11.5237443565489,1
