1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-56.22 0.09 10.33 67.06 -0.72 0.82)_mu=0.0325_STABLE=0.0325-3.313(seg=1.59).png,-136.503193,76.384307,33.486974,0.074192,-107.824531,-24.549266
0.0325,-56.2212159387387,0.0922487757748397,10.328575819504,67.062003876624,-0.721867360800575,0.816118047483148,0
0.033,-56.2592814355845,0.180475035803482,10.3545312894382,67.03776023387,-1.39891811140928,0.655092771950135,0
0.0335,-56.297244929618,0.239992997970395,10.3732851026803,67.0134725864564,-1.8429862636872,0.552225518250754,0
0.034,-56.3351067813742,0.28913504637658,10.389420439203,66.9891234651706,-2.20008996930357,0.47101602977224,0
0.0345,-56.3728696169061,0.332534355904393,10.4040961997846,66.9647248627215,-2.50759896928693,0.402122406831183,0
0.035,-56.4105352765061,0.372210851649449,10.417817792135,66.9402794240602,-2.78199351105055,0.341426225139504,0
0.0355,-56.4481024882502,0.409276017125452,10.4308627969647,66.9157508514983,-3.03242835973041,0.286644943640931,0
0.036,-56.4855799582882,0.444341633084644,10.443386169038,66.8912302490355,-3.26406224778624,0.236479957134386,0
0.0365,-56.5229649526722,0.477879255051215,10.4555051710976,66.8666638592659,-3.48084682992437,0.18995149030997,0
0.037,-56.5602592269933,0.510193327343768,10.4672963230942,66.8420555412115,-3.68538844932897,0.146409194550132,0
0.0375,-56.5974644105624,0.541506091150718,10.4788155654929,66.8174080625705,-3.87961330864279,0.105372835635144,0
0.038,-56.6345820499715,0.571985096704751,10.4901051473306,66.7927236338498,-4.06499201126618,0.066476094459581,0
0.0385,-56.6716136295045,0.601759983455906,10.5011978259378,66.7680041488682,-4.24267713688123,0.0294321456883589,0
0.039,-56.7085605818042,0.63093322013152,10.5121195543867,66.7432513021911,-4.41359170618101,-0.00598847071292251,0
0.0395,-56.745424294163,0.65958725576539,10.5228912706753,66.7184666517635,-4.57848836370682,-0.0399726507834188,0
0.04,-56.7822063826636,0.687788046647982,10.5335298426399,66.69365506285,-4.73798093975933,-0.0726729770931685,0
0.04,-56.7822063826636,0.687788046647982,10.5335298426399,66.69365506285,-4.73798093975933,-0.0726729770931685,0
0.04,-56.7822063826636,0.687788046647982,10.5335298426399,66.69365506285,-4.73798093975933,-0.0726729770931685,0
0.04,-56.7822063826636,0.687788046647982,10.5335298426399,66.69365506285,-4.73798093975933,-0.0726729770931685,0
0.05,-57.5024281825294,1.20495045622288,10.7308310384025,66.1927107834836,-7.26541956331846,-0.573466226092389,0
0.06,-58.1982423887206,1.69137633863079,10.9144823230117,65.6871384236224,-9.17290356279981,-0.938416345344202,0
0.07,-58.8748954616162,2.17113386547059,11.0917798677443,65.1806371221949,-10.7870725364091,-1.24455175765161,0
0.08,-59.53596157092,2.64971920519542,11.2649868051001,64.6751178799712,-12.2207987579305,-1.51701861902528,0
0.09,-60.1840095480196,3.12881444844751,11.4351731723245,64.1715979303295,-13.5292929434892,-1.76746086488523,0
0.1,-60.8209610535109,3.60895350168945,11.6029646592312,63.6706103157246,-14.744528867436,-2.00228786696948,0
0.11,-61.4482994962158,4.09026140863045,11.7687762811975,63.1724157104355,-15.8870164831572,-2.22542532299371,0
0.12,-62.0671992730721,4.57270753367354,11.932906400641,62.6771166055011,-16.970852408736,-2.43946105937424,0
0.13,-62.678608180637,5.05620774716206,12.0955821366876,62.1847073695016,-18.0062247653449,-2.64619653221157,0
0.14,-63.2833104713315,5.54064580366774,12.2569803495242,61.6951764692153,-19.0007625464471,-2.84693489099833,0
0.15,-63.8819558581657,6.02592165385493,12.4172467033651,61.2084242729542,-19.9603761881099,-3.04265617569681,0
0.16,-64.475095525172,6.51193538389691,12.5765008749524,60.7243555883444,-20.8897359711507,-3.23411323975692,0
0.17,-65.0632006786845,6.9985963638623,12.7348435529748,60.2428659830614,-21.7926103191123,-3.42189847741056,0
0.18,-65.6466780948604,7.48582367310528,12.8923605651173,59.7638475485998,-22.6720900258896,-3.60648678738404,0
0.19,-66.2258819637769,7.97354564429626,13.0491258610126,59.2871924927226,-23.5307455319823,-3.78826498660697,0
0.2,-66.801123057001,8.46169905505981,13.2052037316455,58.8127953565399,-24.3707402036989,-3.96755251358644,0
0.21,-67.3726759244238,8.95022821968649,13.3606505008475,58.3405543460457,-25.1939138009444,-4.14461635374781,0
0.22,-67.9407846159505,9.43908409846179,13.515515840705,57.8703720880342,-26.0018452049254,-4.3196820260904,0
0.23,-68.5056672826044,9.92822347553214,13.669843812119,57.4021560102807,-26.795900381035,-4.49294182026955,0
0.24,-69.0675199149918,10.4176082233279,13.8236737000693,56.9358184768338,-27.5772696160667,-4.66456107346671,0
0.25,-69.6265194096338,10.9072046556081,13.977040692612,56.4712767650509,-28.3469968231894,-4.83468302345766,0
0.26,-70.1828261058034,11.3969829638588,14.129976438967,56.0084529422205,-29.1060028861721,-5.00343261007844,0
0.27,-70.7365859010059,11.886916728826,14.2825095126974,55.5472736805849,-29.8551044597146,-5.1709194882241,0
0.28,-71.2879320280304,12.3769824981946,14.4346657994442,55.0876700368813,-30.5950292608837,-5.33724044157252,0
0.29,-71.8369865578368,12.8671594217295,14.5864688240083,54.6295772139304,-31.3264286189457,-5.50248133515927,0
0.3,-72.3838616785726,13.3574289359401,14.7379400281831,54.1729343159787,-32.0498878600998,-5.66671870905954,0
0.31,-72.9286607904294,13.8477744912552,14.8890990082335,53.7176841055063,-32.7659349655996,-5.83002108985012,0
0.32,-73.4714794479642,14.3381813156069,15.0399637190408,53.2637727664774,-33.4750478405312,-5.99245007801738,0
0.33,-74.0124061752628,14.8286362091865,15.1905506505076,52.811149677135,-34.177660455355,-6.15406125591609,0
0.34,-74.5515231744637,15.3191273658998,15.3408749807228,52.3597671941357,-34.874168065855,-6.3149049508272,0
0.35,-75.0889069443424,15.8096442177103,15.4909507095357,51.9095804489522,-35.5649316742574,-6.47502688012117,0
0.36,-75.6246288226404,16.3001772986437,15.6407907755214,51.4605471568679,-36.2502818614126,-6.63446869982102,0
0.37,-76.1587554634136,16.7907181257012,15.7904071587926,51.0126274384731,-36.9305220944849,-6.79326847349031,0
0.38,-76.6913492587516,17.28125909435,15.9398109716888,50.5657836533425,-37.6059315947284,-6.95146107499833,0
0.39,-77.222468712655,17.7717933866089,16.0890125390403,50.1199802453777,-38.2767678343102,-7.1090785360926,0
0.4,-77.7521687736032,18.2623148900352,16.2380214694223,49.6751835992183,-38.9432687187421,-7.26615034765051,0
0.41,-78.2805011312996,18.752818126174,16.386846718599,49.231361907074,-39.6056545015958,-7.42270372185623,0
0.42,-78.8075144822458,19.2432981872336,16.5354966461659,48.7884850453059,-40.2641294702277,-7.57876382125688,0
0.43,-79.3332547680868,19.7337506799307,16.683979066253,48.3465244600952,-40.9188834348078,-7.73435395961536,0
0.44,-79.8577653900934,20.2241716756011,16.8323012930219,47.9054530615562,-41.5700930477201,-7.88949577864417,0
0.45,-80.3810874026625,20.7145576657921,16.9804701815878,47.4652451256629,-42.217922976129,-8.04420940402885,0
0.46,-80.9032596883123,21.2049055226644,17.1284921649067,47.0258762034201,-42.8625269469787,-8.19851358359737,0
0.47,-81.424319116306,21.6952124636222,17.2763732870958,46.5873230367069,-43.5040486807994,-8.352425810043,0
0.48,-81.9443006867544,22.1854760196639,17.4241192335937,46.1495634802988,-44.1426227282694,-8.50596243023479,0
0.49,-82.4632376618017,22.6756940070247,17.5717353585106,45.7125764295658,-44.7783752214813,-8.65913874284476,0
0.5,-82.9811616852919,23.1658645017175,17.7192267094771,45.2763417534257,-45.4114245501612,-8.81196908576328,0
0.51,-83.498102892137,23.6559858166514,17.8665980502594,44.8408402321243,-46.0418819716858,-8.96446691456401,0
0.52,-84.0140900084602,24.1460564810333,18.0138538813759,44.4060534994736,-46.6698521625392,-9.11664487309952,0
0.53,-84.5291504434486,24.6360752217963,18.1609984589226,43.9719639891962,-47.2954337178315,-9.26851485715898,0
0.54,-85.0433103737498,25.12604094684,18.3080358117898,43.5385548850553,-47.9187196046539,-9.42008807199394,0
0.55,-85.5565948211396,25.6159527298779,18.4549697574299,43.1058100744781,-48.5397975742906,-9.57137508440901,0
0.56,-86.0690277241104,26.1058097967282,18.6018039163198,42.6737141053976,-49.158750537695,-9.72238587002488,0
0.57,-86.5806320039559,26.5956115128893,18.7485417252444,42.2422521460726,-49.7756569080825,-9.87312985624184,0
