2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 -53.27 0 -9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,-0.000000,15.114552,-80.976651,0.000000,-15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 -53.27 0 -9.94)_mu=0_STABLE=0-1.06(seg=1.50).png,-213.096450,-0.000000,39.775137,-213.096450,0.000000,-39.775137
0.72,-129.988834739863,-8.25315702931984e-10,24.262833752145,-129.988834739864,8.25320169194413e-10,-24.262833752145,0
0.73,-131.054316991663,-8.05251718170169e-10,24.4617094386107,-131.054316991663,8.05147503139467e-10,-24.4617094386107,0
0.74,-132.119799243468,-7.85761465659299e-10,24.660585125077,-132.119799243468,7.85642258606216e-10,-24.660585125077,0
0.75,-133.185281495276,-7.66969711048573e-10,24.859460811544,-133.185281495276,7.66937406269062e-10,-24.859460811544,0
0.76,-134.250763747087,-7.48845741817793e-10,25.0583364980116,-134.250763747087,7.48682129855273e-10,-25.0583364980116,0
0.77,-135.316245998903,-7.3123580920844e-10,25.2572121844797,-135.316245998903,7.31170997662553e-10,-25.2572121844797,0
0.78,-136.381728250722,-7.14152513167643e-10,25.4560878709485,-136.381728250722,7.13959970354353e-10,-25.4560878709485,0
0.79,-137.447210502544,-6.97641028605221e-10,25.6549635574177,-137.447210502544,6.97609350602986e-10,-25.6549635574177,0
0.8,-138.512692754369,-6.81412183189262e-10,25.8538392438875,-138.512692754369,6.81561420365698e-10,-25.8538392438875,0
0.81,-139.578175006198,-6.66061842073858e-10,26.0527149303578,-139.578175006198,6.66130201562934e-10,-26.0527149303578,0
0.82,-140.64365725803,-6.50950049072008e-10,26.2515906168286,-140.64365725803,6.50995447219055e-10,-26.2515906168286,0
0.83,-141.709139509864,-6.36309750875162e-10,26.4504663032999,-141.709139509864,6.36480407874979e-10,-26.4504663032998,0
0.84,-142.774621761701,-6.22218553807466e-10,26.6493419897716,-142.774621761701,6.22334379233973e-10,-26.6493419897716,0
0.85,-143.840104013541,-6.08384642252109e-10,26.8482176762437,-143.840104013541,6.08580388123878e-10,-26.8482176762437,0
0.86,-144.905586265383,-5.95004681917984e-10,27.0470933627163,-144.905586265383,5.95235532304533e-10,-27.0470933627163,0
0.87,-145.971068517228,-5.82096166190302e-10,27.2459690491893,-145.971068517228,5.82199030413517e-10,-27.2459690491892,0
0.88,-147.036550769075,-5.69862577157014e-10,27.4448447356626,-147.036550769075,5.69534584532634e-10,-27.4448447356626,0
0.89,-148.102033020924,-5.57293529357926e-10,27.6437204221364,-148.102033020924,5.57267499398488e-10,-27.6437204221364,0
0.9,-149.167515272776,-5.45558298840551e-10,27.8425961086104,-149.167515272776,5.45371018527765e-10,-27.8425961086104,0
0.91,-150.23299752463,-5.33834976982998e-10,28.0414717950848,-150.23299752463,5.33870624791488e-10,-28.0414717950848,0
0.92,-151.298479776485,-5.23014476129166e-10,28.2403474815595,-151.298479776485,5.22615775416964e-10,-28.2403474815596,0
0.93,-152.363962028343,-5.11991724407371e-10,28.4392231680346,-152.363962028343,5.1155640346575e-10,-28.4392231680347,0
0.94,-153.429444280203,-5.01688014048485e-10,28.63809885451,-153.429444280203,5.00830842184614e-10,-28.6380988545102,0
0.95,-154.494926532064,-4.91191575694577e-10,28.8369745409857,-154.494926532064,4.90633368242961e-10,-28.8369745409858,0
0.96,-155.560408783927,-4.80306879663793e-10,29.0358502274619,-155.560408783927,4.81462108137438e-10,-29.0358502274616,0
