1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(64.73 0.37 1.34 64.73 0.37 -1.15)_mu=0.016_STABLE=0.016-9.92(seg=2.47).png,44.296395,27.385257,39.275345,44.296395,27.385257,-25.582716
0.016,64.726532034328,0.371094616027274,1.33508294117746,64.7265321460147,0.371094530581167,-1.1495356276085,0
0.017,64.6141589950783,1.71694011811704,1.69918357504891,64.6141589961635,1.71694011561378,-0.840713516424473,0
0.018,64.5052007088243,2.38636727018994,1.8933416759204,64.5052010147706,2.38636651165669,-0.70015819608804,0
0.019,64.3994156113104,2.8952674311614,2.04660918391912,64.3994156605774,2.89526732751781,-0.598975490388973,0
0.02,64.2965570600963,3.31898916780625,2.17789476271106,64.296559123636,3.3189892731,-0.518399155457805,0
0.02,64.2965570600963,3.31898916780625,2.17789476271106,64.296559123636,3.3189892731,-0.518399155457805,0
0.02,64.2965570600963,3.31898916780625,2.17789476271106,64.296559123636,3.3189892731,-0.518399155457805,0
0.02,64.2965570600963,3.31898916780625,2.17789476271106,64.296559123636,3.3189892731,-0.518399155457805,0
0.02,64.2965570600963,3.31898916780625,2.17789476271106,64.296559123636,3.3189892731,-0.518399155457805,0
0.03,63.3939687803381,5.91265029054689,3.0522594959356,63.393969147004,5.91265011427998,-0.0959343953682244,0
0.04,62.6509692857466,7.46997202426823,3.63594301449509,62.6509692900385,7.46997202317939,0.0990429970568457,0
0.05,62.0123450597737,8.63315356185133,4.10298641712776,62.0123471292156,8.6331532242991,0.213590162756695,0
0.06,61.4488527556101,9.57523740865744,4.50305210917359,61.4488529658808,9.57523737165918,0.284566591561881,0
0.07,60.9427188453842,10.3726000068111,4.85879618656603,60.9427189026664,10.3725999993702,0.327503816673232,0
0.08,60.482175589422,11.0666015429503,5.18274930247587,60.4821756041833,11.0666015415147,0.350551469103362,0
0.09,60.058945582535,11.6824667820642,5.4826604090833,60.0589455856672,11.6824667818156,0.358572981989284,0
0.1,59.6669437997918,12.2368453371003,5.76369132226855,59.6669438002888,12.2368453370441,0.354731346284656,0
0.11,59.3015421049334,12.74136925493,6.0294695772222,59.3015421050282,12.741369254895,0.341215050237347,0
0.12,58.9591209074243,13.2045227177264,6.28264999611273,58.9591241457861,13.2045216952979,0.319610903740527,0
0.13,58.6368007366158,13.632702608971,6.52523887903472,58.6368008046389,13.6327025749364,0.291112420638103,0
0.14,58.3322214014857,14.0308712698801,6.75879148563417,58.3322223530652,14.030871266348,0.256644180327853,0
0.15,58.0434464721078,14.4029595546277,6.9845398653524,58.0434471932614,14.4029595624406,0.216939940024551,0
0.16,57.7688495219315,14.7521430282492,7.20347760985108,57.7688500612258,14.7521430431574,0.17259392936504,0
0.17,57.50705438541,15.0810278588294,7.41641828523249,57.5070547881014,15.0810278772308,0.124095666049509,0
0.18,57.2568841202741,15.3917825507965,7.62403694020871,57.2568844252482,15.3917825698672,0.0718543535632769,0
0.19,57.0173232584772,15.6862331627324,7.82690018386037,57.0173234968998,15.6862331804897,0.0162164122533422,0
0.2,56.7874887625704,15.9659336180613,8.0254884562327,56.7874889579184,15.9659336333214,-0.042521636010434,0
0.21,56.5666073529604,16.232218599276,8.22021281743164,56.5666075219105,16.2322186115314,-0.104103509886585,0
0.22,56.3539975775288,16.4862440003152,8.41142780736586,56.3539977312306,16.4862440095751,-0.168305802155495,0
0.23,56.149055465491,16.7290183207305,8.59944143644583,56.1490556109097,16.7290183273551,-0.234932273351078,0
0.24,55.9512429275733,16.9614273525246,8.78452304670835,55.9512430686971,16.9614273570808,-0.303809369465519,0
0.25,55.7600782867023,17.1842538243345,8.966909568722,55.7600784255383,17.184253827479,-0.374782656753686,0
0.26,55.5751284802533,17.3981932020294,9.14681055377518,55.5751286175869,17.3981932044228,-0.447713953609945,0
0.27,55.3960025873352,17.6038665228878,9.32441225966323,55.3960027232755,17.6038665251406,-0.522478999252837,0
0.28,55.2223464164127,17.8018309141291,9.49988099700235,55.2223465507579,17.8018309167676,-0.59896554076334,0
0.29,55.0538379488425,17.9925882848428,9.67336589186103,55.0538380813091,17.9925882882946,-0.677071749742787,0
0.3,54.8901834788975,18.176592563195,9.84500118335952,54.8901836092469,18.1765925677866,-0.756704901303229,0
0.31,54.7311143247674,18.3542557647747,10.0149081475631,54.7311144528622,18.3542557707391,-0.837780263783381,0
0.32,54.5763840108901,18.525953114046,10.1831967186567,54.5763841367115,18.5259531215309,-0.920220159196066,0
0.33,54.4257658418788,18.6920273928464,10.3499668630768,54.4257659655148,18.6920274019276,-1.00395316310941,0
0.34,54.2790508037473,18.8527926534504,10.5153097506461,54.2790509253673,18.852792664145,-1.08891341925026,0
0.35,54.1360457402349,19.0085374057735,10.6793087578234,54.1360458600607,19.008537418052,-1.17504004915256,0
0.36,53.9965717615926,19.1595273666985,10.8420403312683,53.996571879874,19.1595273804952,-1.26227664105995,0
