1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 62.73 0 -1.2)_mu=0_STABLE=0-100(seg=0.00).png,-65.129928,0.000000,17.208539,49.393033,0.000000,-8.112928
0.35,-58.5116695729262,4.85710668325382e-10,13.0135836283459,57.8999365169499,-5.89785919606037e-10,-4.1920974396136,0
0.36,-58.6552737935882,4.63598050483714e-10,13.1013055261181,57.7351816290365,-5.44599561675102e-10,-4.27539959679855,0
0.37,-58.7986017956968,4.41433197092582e-10,13.1890189435093,57.5695669418015,-5.01687602024554e-10,-4.35861627972281,0
0.38,-58.9416566961938,4.19632093059369e-10,13.2767233968544,57.4031235363285,-4.61530626799547e-10,-4.44174907817223,0
0.39,-59.0844414909873,3.98466472262556e-10,13.3644184191387,57.2358812548473,-4.23688257478942e-10,-4.52479951741029,0
0.4,-59.2269590600595,3.77896926329947e-10,13.4521035591552,57.0678687633715,-3.88388745081356e-10,-4.60776906132734,0
0.41,-59.3692121723305,3.58092077749206e-10,13.5397783807129,56.8991136105517,-3.55523961859854e-10,-4.69065911540716,0
0.42,-59.5112034902893,3.38816795749346e-10,13.6274424618919,56.7296422830087,-3.24787655354519e-10,-4.77347102952325,0
0.43,-59.6529355744035,3.20532368754275e-10,13.7150953943437,56.5594802573975,-2.96515512935181e-10,-4.85620610057629,0
0.44,-59.7944108873219,3.02818996511896e-10,13.8027367826314,56.3886520494163,-2.70125907732776e-10,-4.93886557498302,0
0.45,-59.9356317978776,2.86207980733144e-10,13.890366243609,56.2171812599805,-2.45794054373912e-10,-5.02145065102644,0
0.46,-60.0766005849032,2.70307263336393e-10,13.9779834058363,56.0450906187419,-2.23597907340379e-10,-5.10396248107611,0
0.47,-60.2173194408686,2.55332950603886e-10,14.0655879090267,55.8724020251382,-2.02980985880943e-10,-5.18640217368686,0
0.48,-60.3577904753491,2.41135259075451e-10,14.1531794035266,55.6991365871316,-1.84145027656466e-10,-5.26877079558391,0
0.49,-60.4980157183332,2.27756432622828e-10,14.2407575498237,55.525314657787,-1.66819142660289e-10,-5.35106937354114,0
0.5,-60.6379971233787,2.15146646893573e-10,14.3283220180822,55.3509558698348,-1.50935264720681e-10,-5.43329889615942,0
0.51,-60.7777365706241,2.03313505554224e-10,14.4158724877041,55.1760791683406,-1.36380892073551e-10,-5.51546031555106,0
0.52,-60.9172358696635,1.92165809903968e-10,14.5034086469136,55.0007028416068,-1.22987079742077e-10,-5.59755454893628,0
0.53,-61.0564967622905,1.81877973616752e-10,14.5909301923645,54.8248445504176,-1.10886400552673e-10,-5.6795824801567,0
0.54,-61.1955209251201,1.72083594901805e-10,14.6784368287678,54.6485213557258,-9.96827886890189e-11,-5.76154496111123,0
0.55,-61.334309972092,1.63072125882115e-10,14.7659282685399,54.4717497448838,-8.96469552915226e-11,-5.84344281311886,0
0.56,-61.4728654568641,1.54660820612164e-10,14.8534042314684,54.2945456565039,-8.04116709335204e-11,-5.92527682821235,0
0.57,-61.6111888750986,1.46900104966536e-10,14.9408644443952,54.1169245040321,-7.21565828666767e-11,-6.00704777036749,0
0.58,-61.7492816666492,1.39459376298936e-10,15.0283086409169,53.9389011981127,-6.44534894341875e-11,-6.08875637667097,0
0.59,-61.8871452176515,1.32684004886305e-10,15.1157365610995,53.760490167817,-5.7571632225119e-11,-6.17040335843115,0
0.6,-62.0247808625242,1.26254562006313e-10,15.2031479512077,53.5817053807996,-5.12054821863504e-11,-6.25198940223424,0
0.61,-62.1621898858821,1.2049714758483e-10,15.290542563448,53.4025603624504,-4.54983237127831e-11,-6.33351517094954,0
0.62,-62.2993735243694,1.14994375394179e-10,15.3779201557247,53.2230682140942,-4.0303096085915e-11,-6.41498130468634,0
0.63,-62.4363329684119,1.09929832228637e-10,15.4652804914075,53.0432416303011,-3.55401511951297e-11,-6.49638842170518,0
0.64,-62.5730693638984,1.05240624816987e-10,15.5526233391108,52.8630929153478,-3.1204888946792e-11,-6.57773711928635,0
0.65,-62.7095838137888,1.00944736826593e-10,15.6399484724837,52.6826339988861,-2.74332614323648e-11,-6.65902797455726,0
0.66,-62.8458773796555,9.69564497530843e-11,15.7272556700097,52.501876450864,-2.38225325764293e-11,-6.74026154528157,0
0.67,-62.9819510831621,9.32986925471032e-11,15.8145447148169,52.3208314957292,-2.08469132222404e-11,-6.82143837061209,0
0.68,-63.1178059074789,8.97708397867481e-11,15.9018153944958,52.1395100259717,-1.79214035037306e-11,-6.90255897180875,0
0.69,-63.2534427986423,8.67487990807231e-11,15.9890675009276,51.9579226150264,-1.54761529078931e-11,-6.98362385292462,0
0.7,-63.3888626668571,8.38514083509623e-11,16.0763008301183,51.7760795295805,-1.3076355045294e-11,-7.06463350146029,0
0.71,-63.5240663877474,8.1189537768999e-11,16.1635151820423,51.593990741313,-1.10449496940155e-11,-7.14558838898971,0
0.72,-63.659054803556,7.87278131861717e-11,16.2507103604924,51.4116659380979,-9.20942216868612e-12,-7.22648897175772,0
0.73,-63.7938287242969,7.65302037906184e-11,16.3378861729366,51.2291145346979,-7.55497283182476e-12,-7.30733569125164,0
0.74,-63.9283889288608,7.44686171239936e-11,16.4250424303818,51.0463456829812,-6.03493461665472e-12,-7.38812897474752,0
0.75,-64.062736166078,7.26309645552064e-11,16.5121789472433,50.8633682816769,-4.94647899368567e-12,-7.46886923583319,0
0.76,-64.1968711557389,7.08068010225267e-11,16.5992955412202,50.6801909857016,-3.68811548345067e-12,-7.54955687490823,0
0.77,-64.3307945895748,6.93460919523978e-11,16.6863920331769,50.4968222150747,-2.62707120190749e-12,-7.63019227966324,0
0.78,-64.4645071322012,6.79038571926209e-11,16.7734682470285,50.3132701634434,-1.702676075897e-12,-7.7107758255381,0
0.79,-64.5980094220237,6.66092364612191e-11,16.860524009633,50.1295428062404,-1.03281738630251e-12,-7.79130787616144,0
0.8,-64.7313020721108,6.55480554825343e-11,16.9475591506867,49.9456479084878,-3.59007748795001e-13,-7.87178878377151,0
0.81,-64.8643856710316,6.44255419399643e-11,17.0345735026249,49.7615930322697,2.19993047081068e-13,-7.95221888961973,0
0.82,-64.9972607836635,6.3389943860963e-11,17.1215669005267,49.5773855438881,8.5143158596126e-13,-8.03259852435739,0
0.83,-65.1299279519691,6.26943895116944e-11,17.208539182024,49.393032620714,1.1080631482079e-12,-8.11292800840706,0
0.84,-65.2623876957437,6.18260609631003e-11,17.295490187214,49.2085412577555,1.52510165107379e-12,-8.19320765231806,0
0.85,-65.3946405133352,6.12219464721244e-11,17.382419758576,49.0239182739536,1.79126093129047e-12,-8.27343775710848,0
0.86,-65.5266868823378,6.0474171675143e-11,17.4693277408909,48.8391703182145,1.93411917205752e-12,-8.35361861459302,0
0.87,-65.6585272602608,6.00885459756963e-11,17.5562139811652,48.6543038751963,1.91004498967197e-12,-8.43375050769802,0
0.88,-65.7901620851717,5.96098071429096e-11,17.6430783285567,48.469325270864,1.98595902160923e-12,-8.51383371076363,0
0.89,-65.9215917763175,5.92010048068345e-11,17.7299206343048,48.2842406778136,1.97252291574363e-12,-8.59386848983495,0
0.9,-66.0528167347227,5.8877977620458e-11,17.8167407516622,48.0990561203875,1.99912129696957e-12,-8.67385510294102,0
0.91,-66.1838373437666,5.85844012906604e-11,17.9035385358308,47.913777479584,1.83190317299201e-12,-8.75379380036349,0
0.92,-66.31465396974,5.83349641670757e-11,17.9903138438994,47.7284104977714,1.73817439323601e-12,-8.83368482489486,0
0.93,-66.445266962382,5.82484016098318e-11,18.0770665347835,47.542960783219,1.49529538667e-12,-8.91352841208683,0
0.94,-66.5756766553991,5.8049556695231e-11,18.1637964691688,47.3574338144474,1.23899701669162e-12,-8.99332479048936,0
0.95,-66.7058833669642,5.7950945990685e-11,18.250503509456,47.1718349444142,1.01120508146123e-12,-9.07307418188067,0
0.96,-66.835887400201,5.79118351553295e-11,18.337187519708,46.9861694045339,6.84569075214071e-13,-9.15277680148861,0
0.97,-66.9656890436496,5.77102007016178e-11,18.4238483655994,46.8004423085467,4.46707092228494e-13,-9.23243285820389,0
0.98,-67.0952885717175,5.76925858781385e-11,18.5104859143676,46.6146586562374,1.07854136659571e-13,-9.3120425547855,0
0.99,-67.2246862451151,5.76779581553113e-11,18.5971000347665,46.4288233370147,-1.80121297041545e-13,-9.39160608805841,0
1,-67.3538823112763,5.78060772583489e-11,18.6836905970215,46.2429411333549,-5.88299786151241e-13,-9.47112364910448,0
1.01,-67.4828770047648,5.77888950963345e-11,18.770257472786,46.0570167241209,-1.02678512936029e-12,-9.55059542344574,0
1.02,-67.6116705476687,5.78939959964447e-11,18.8568005351005,45.8710546877469,-1.35522272894648e-12,-9.63002159122215,0
1.03,-67.740263149979,5.78240952148774e-11,18.9433196583524,45.6850595053203,-1.76462369158104e-12,-9.70940232736201,0
1.04,-67.8686550099586,5.80430376365955e-11,19.029814718238,45.4990355635386,-2.35474645865323e-12,-9.78873780174699,0
1.05,-67.9968463144984,5.81959933353157e-11,19.1162855917256,45.3129871575611,-2.72118681483424e-12,-9.86802817937108,0
1.06,-68.1248372394606,5.81736931499357e-11,19.2027321570198,45.126918493761,-3.05523642104807e-12,-9.94727362049393,0
1.07,-68.2526279500134,5.83666159220892e-11,19.2891542935279,44.9408336923733,-3.56204194931059e-12,-10.0264742807893,0
1.08,-68.3802186009525,5.85006345172779e-11,19.3755518818269,44.754736790051,-3.91534295423094e-12,-10.1056303114878,0
1.09,-68.5076093370148,5.87418839815311e-11,19.4619248036323,44.5686317423272,-4.59360684832279e-12,-10.184741859515,0
1.1,-68.6348002931803,5.88705504927399e-11,19.5482729417672,44.3825224259916,-4.97762275530043e-12,-10.263809067625,0
1.11,-68.7617915949661,5.90584985620436e-11,19.634596180134,44.1964126413824,-5.54002614555702e-12,-10.3428320745294,0
