2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,0.000000,-15.114552,-80.976651,-0.000000,15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=1.51).png,-214.161933,0.000000,-39.974013,-214.161933,-0.000000,39.974013
0.33,-88.4350269263565,2.5113890884422e-09,-16.5066819811057,-88.4350269263565,-2.51140399513787e-09,16.5066819811057,0
0.34,-89.5005091776745,2.4192045964145e-09,-16.7055576674928,-89.5005091776745,-2.41921467971154e-09,16.7055576674928,0
0.35,-90.5659914290217,2.33135513737041e-09,-16.9044333538846,-90.5659914290217,-2.3313978607907e-09,16.9044333538846,0
0.36,-91.6314736803964,2.24756517607297e-09,-17.1033090402809,-91.6314736803964,-2.24754836942141e-09,17.1033090402809,0
0.37,-92.696955931797,2.16722184794536e-09,-17.3021847266815,-92.696955931797,-2.16724509389046e-09,17.3021847266815,0
0.38,-93.762438183222,2.09067472470466e-09,-17.5010604130861,-93.762438183222,-2.09061173212476e-09,17.5010604130861,0
0.39,-94.8279204346699,2.01730672357708e-09,-17.6999360994945,-94.8279204346699,-2.01726677528068e-09,17.6999360994945,0
0.4,-95.8934026861396,1.94695176950963e-09,-17.8988117859064,-95.8934026861396,-1.9468650090497e-09,17.8988117859064,0
0.41,-96.9588849376295,1.87931261112946e-09,-18.0976874723216,-96.9588849376295,-1.87937386508276e-09,18.0976874723216,0
0.42,-98.0243671891389,1.81493754573825e-09,-18.29656315874,-98.0243671891389,-1.81492290597315e-09,18.29656315874,0
0.43,-99.0898494406664,1.75314529625263e-09,-18.4954388451614,-99.0898494406664,-1.75311688299998e-09,18.4954388451614,0
0.44,-100.155331692211,1.69386417023763e-09,-18.6943145315857,-100.155331692211,-1.69388239741088e-09,18.6943145315857,0
0.45,-101.220813943772,1.63702510032858e-09,-18.8931902180125,-101.220813943772,-1.63698677204706e-09,18.8931902180125,0
0.46,-102.286296195349,1.58214659602696e-09,-19.092065904442,-102.286296195349,-1.5821429962589e-09,19.092065904442,0
0.47,-103.35177844694,1.52974064145106e-09,-19.2909415908738,-103.35177844694,-1.52964139770416e-09,19.2909415908738,0
0.48,-104.417260698545,1.47925197460132e-09,-19.4898172773079,-104.417260698545,-1.47922389506609e-09,19.4898172773079,0
0.49,-105.482742950163,1.43073172103117e-09,-19.6886929637442,-105.482742950163,-1.43068376178175e-09,19.6886929637442,0
