0.239,-91.7013096759815,-53.5652813595273,-12.9953983428207,-91.7013096762871,-53.5652813599472,-13.7872423371074,2
0.24,-91.8451598953334,-53.5284187396414,-12.5244125229202,-91.8451607511819,-53.5284199591445,-14.2397970905342,2
0.25,-93.2672436293879,-53.1627549735271,-10.7248894487299,-93.26724026373,-53.162751290779,-15.8564874383678,2
0.26,-94.6601721255499,-52.8021813743541,-9.65972319317276,-94.6601721257564,-52.8021813747177,-16.741367494101,2
0.27,-96.0249866844297,-52.4462996320305,-8.79914905177131,-96.0249871518469,-52.4463008185503,-17.4240008776284,2
0.28,-97.3627687378466,-52.0946735136366,-8.04752155355989,-97.3627687729671,-52.0946736090073,-17.9998152117409,2
0.29,-98.6746396073276,-51.7468510512897,-7.36597080762673,-98.6746396092809,-51.7468510565524,-18.5074547184726,2
0.3,-99.9617206954968,-51.4023796689543,-6.73409681984706,-99.9617206954683,-51.4023796688535,-18.9670930146692,2
0.31,-101.225124733653,-51.0608033800427,-6.1395845853358,-101.225133760752,-51.0608202111092,-19.3908188971665,2
0.32,-102.465930977182,-50.7217052729473,-5.57433931731385,-102.46593097719,-50.7217052729323,-19.7865133192118,2
0.33,-103.685195101858,-50.384639446639,-5.03264317032436,-103.685195101815,-50.3846394465109,-20.1596765530309,2
0.34,-104.883932397563,-50.0491979151187,-4.51030804531769,-104.883942966538,-50.0492128992109,-20.5142920692072,2
0.35,-106.063080707028,-49.7150101101624,-4.00417166452903,-106.063088867986,-49.7150184940878,-20.8533339683642,2
0.36,-107.223567299404,-49.3816932101092,-3.51172585438362,-107.223573620129,-49.3816970261287,-21.1791209529953,2
0.37,-108.36625491313,-49.0488953884905,-3.03097501338474,-108.366259728228,-49.0488958682803,-21.4934726310829,2
0.38,-109.491957863925,-48.7162825216391,-2.56029138189592,-109.491961364705,-48.7162804055149,-21.7978496511564,2
0.39,-110.60144321074,-48.3835373745605,-2.09832634627195,-110.601445487202,-48.3835330756126,-22.0934419770077,2
0.4,-111.695432509211,-48.0503585591344,-1.64394757948705,-111.695433566339,-48.050352248273,-22.3812312184776,2
0.41,-112.77460392803,-47.7164593667395,-1.19619332739098,-112.774603683758,-47.7164510065778,-22.662035756624,2
0.42,-113.839594571245,-47.3815665443444,-0.754238414793337,-113.839592835791,-47.3815558806276,-22.9365441218159,2
0.43,-114.891002897266,-47.0454190644917,-0.317368473600505,-114.890999325734,-47.0454055679908,-23.2053401463527,2
0.44,-115.929391163618,-46.7077669318633,0.115039924457825,-115.929385160429,-46.7077496614377,-23.468922228568,2
0.45,-116.955287863724,-46.3683700776388,0.543534798018479,-116.955278387066,-46.3683473885885,-23.7277182977199,2
0.46,-117.969190176561,-46.0269974408603,0.968601012787,-117.969175309993,-46.0269663417285,-23.9820975829888,2
0.47,-118.971547850246,-45.683397250743,1.39068217115353,-118.971547849509,-45.6833972495995,-24.2323807964625,2
0.48,-119.962828798078,-45.3373956410295,1.81014713884047,-119.962828796969,-45.3373956393636,-24.4788449592501,2
0.49,-120.943435087724,-44.9887603178831,2.22735284103409,-120.943435085295,-44.9887603143648,-24.7217329997206,2
0.5,-121.913757362565,-44.6372826569675,2.64261538562918,-121.913757349142,-44.6372826380954,-24.9612567126008,2
0.51,-122.874164482373,-44.2827576640025,3.05622249954489,-122.874164090516,-44.2827571183401,-25.1976012858594,2
0.52,-123.825004177988,-43.9249818148224,3.46843790461736,-123.825004092512,-43.92498169556,-25.430928801756,2
