3
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-91.66 53.58 13.39 -91.66 53.58 13.39)_mu=0_UNSTABLE(seg=0.00).png,-91.662233,53.575309,13.393821,-91.662233,53.575309,13.393821
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-91.66 53.58 13.39 -91.66 53.58 13.39)_mu=0_UNSTABLE(seg=0.12).png,-91.662233,53.575309,13.393821,-91.662233,53.575309,13.393821
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-91.66 53.58 13.39 -91.66 53.58 13.39)_mu=0_UNSTABLE(seg=1.12).png,-91.662233,53.575309,13.393821,-91.662233,53.575309,13.393821
0,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.01,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.02,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.03,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.04,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.05,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.06,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.07,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.08,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.09,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.1,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.11,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.12,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.13,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.14,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.15,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.16,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.17,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.18,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.19,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.2,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.21,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.22,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.23,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,2
0.24,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.25,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.26,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.27,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.28,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.29,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.3,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.31,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.32,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.33,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.34,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.35,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.36,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.37,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.38,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.39,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.4,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.41,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.42,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.43,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.44,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.45,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.46,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.47,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.48,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.49,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.5,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.51,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.52,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.53,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.54,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.55,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.56,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.57,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.58,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.59,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.6,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.61,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.62,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.63,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.64,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.65,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.66,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.67,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.68,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.69,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.7,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.71,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.72,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.73,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.74,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.75,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.76,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.77,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.78,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.79,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.8,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.81,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.82,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.83,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.84,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.85,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.86,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.87,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.88,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.89,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.9,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.91,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.92,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.93,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.94,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.95,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.96,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.97,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.98,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
0.99,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.01,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.02,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.03,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.04,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.05,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.06,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.07,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.08,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.09,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.1,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.11,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.12,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.13,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.14,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.15,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.16,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.17,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.18,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.19,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.2,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.21,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.22,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.23,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.24,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.25,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.26,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.27,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.28,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.29,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.3,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.31,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.32,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.33,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.34,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.35,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.36,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.37,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.38,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.39,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.4,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.41,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.42,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.43,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.44,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.45,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
1.46,-91.6622326234085,53.5753086118436,13.3938206425146,-91.6622326234085,53.5753086118436,13.3938206425146,1
